,Peak 1,,,,Peak 2,,,,Peak 3,,,,
,Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),
082418 20uM DJA2,473.9,0.5%,2.49,41.6,87.4,2.4%,3.50,58.4,,,,,
082418 20uM DJA2 20uM tau monomer,463.3,0.9%,2.43,13.8,78.8,3.6%,7.41,42.3,74.3,5.5%,7.69,43.9,
082418 20uM DJA2 8uM tau fibril,420.6,0.5%,2.45,37.5,77.6,1.7%,4.09,62.5,,,,,
082418 20uM monomeric tau,48.2,2.8%,5.13,100.0,,,,,,,,,
082418 10uM tau fibrils,110.1,80.8%,2.56,100.0,,,,,,,,,
Average,303.2,,3.01,58.6,81.3,,5.00,54.4,74.3,,7.69,43.9,
Standard deviation,206.7,,1.19,39.3,5.3,,2.11,10.7,n/a,,n/a,n/a,
% Standard deviation,68.2,,39.38,67.0,6.6,,42.11,19.7,n/a,,n/a,n/a,
Minimum,48.2,,2.43,13.8,77.6,,3.50,42.3,74.3,,7.69,43.9,
Maximum,473.9,,5.13,100.0,87.4,,7.41,62.5,74.3,,7.69,43.9,
