,Peak 1,,,,Peak 2,,,,Peak 3,,,,
,Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),Mw (kDa),Uncertainty,Calculated mass (µg),Mass fraction (%),
022618 A2 3mgmL,557.2,1.2%,12.02,68.8,12262.7,1.1%,1.79,10.3,103.5,1.5%,3.65,20.9,
021218 A2 1mgmL,507.8,1.1%,1.93,88.1,38988.0,2.3%,0.26,11.9,,,,,
021218 B1 1mgmL,75.5,1.4%,22.81,100.0,,,,,,,,,
022718 DNAJA1 0.6mgmL,115.7,2.2%,3.40,100.0,,,,,,,,,
022718 DNAJA2 Delta CT 0.7mgmL,36.0,2.6%,5.77,100.0,,,,,,,,,
Average,258.4,,9.18,91.4,25625.4,,1.03,11.1,103.5,,3.65,20.9,
Standard deviation,252.4,,8.54,13.6,18897.6,,1.09,1.1,n/a,,n/a,n/a,
% Standard deviation,97.7,,92.94,14.9,73.7,,105.70,10.2,n/a,,n/a,n/a,
Minimum,36.0,,1.93,68.8,12262.7,,0.26,10.3,103.5,,3.65,20.9,
Maximum,557.2,,22.81,100.0,38988.0,,1.79,11.9,103.5,,3.65,20.9,
